,position,team name,weighted match,point,rating
0,1,India,32,"3,631",113
1,2,New Zealand,23,"2,547",111
2,3,South Africa,27,"2,917",108
3,4,England,35,"3,663",105
4,5,Australia,27,"2,640",98
5,6,Sri Lanka,37,"3,462",94
6,7,Pakistan,27,"2,263",84
7,8,West Indies,29,"2,381",82
8,9,Bangladesh,22,"1,438",65
9,10,Zimbabwe,9,140,16
